AvyYear,YYYY,MM,DD,Location,Trigger,D Size,Setting,State,lat,lon,PrimaryActivity,TravelMode,Killed,Description,Date
2021,2020,12,18,"Near Sheep Pass, Salt River Range",AM,2.0,BC,WY,42.60289,-110.75731,Snowmobiler,Snowmobile,1,"1 snowmobiler caught, buried and killed",2020-12-18
2020,2020,4,28,"Mount Emmons, west of Crested Butte",AS,2.0,BC,CO,38.89532,-107.03138,Backcountry Tourer,Ski,1,"1 backcountry skier caught, killed",2020-04-28
2020,2020,4,15,"Point 12885 near Red Peak, west of Silverthorne",AS,2.0,BC,CO,39.6458,-106.15636,Backcountry Tourer,Ski,1,"2 backcountry tourers caught and carried, 1 killed",2020-04-15
2020,2020,4,3,"Austin Canyon, Snake River Range",AM,2.0,BC,ID,43.35006,-111.21846,Snowmobiler,Snowmobile,1,"1 snowmobiler caught, buried, and killed",2020-04-03
2020,2020,4,1,"Taylor Mountain, northwest of Teton Pass",AR,2.0,BC,WY,43.53018,-110.98117,Backcountry Tourer,Snowboard,1,"1 backcountry tourer caught, buried, and killed",2020-04-01
2020,2020,3,15,North of Skyline Peak,AS,2.0,BC,ID,42.76727,-112.13999,Sidecountry Rider,Ski,1,"2 sidecountry riders caught, 1 partially buried, 1 buried and killed",2020-03-15
2020,2020,3,9,Near Hatcher Pass,AR,,BC,AK,61.76992,-149.31278,Backcountry Tourer,Snowboard,1,"1 backcountry tourer caught, killed",2020-03-09
2020,2020,2,25,Unalaska Island,U,,BC,AK,53.87779,-166.53277,Snowmobiler,Snowmobile,1,"1 snowmobiler caught, buried, and killed",2020-02-25
2020,2020,2,15,"South Fork of Dickson Creek, east of Red and White Mountain",AV,2.0,BC,CO,39.6897,-106.4702,Snowmobiler,Snowbike,2,"3 snowbike riders caught, 1 partially buried, 2 buried and killed",2020-02-15
2020,2020,2,10,"Boulder Creek Drainage, South of Cooper Landing",AM,,BC,AK,60.31759,-149.60966,Snowmobiler,Snowmobile,1,"1 snowmobiler caught, buried, and killed",2020-02-10
2020,2020,1,23,Near Blewett Pass,N,,TN,WA,47.33538,-120.58043,Resident,Foot,1,"1 resident caught, buried and killed",2020-01-23
2020,2020,1,18,"Uncompahgre Gorge, south of Ouray",N,1.0,BC,CO,37.983432,-107.655867,Climber,Foot,1,"1 climber struck by falling ice, buried, and killed",2020-01-18
2020,2020,1,18,"Farmington Canyon, east of Farmington",AM,2.0,BC,UT,40.97512,-111.8223,Snowmobiler,Snowmobile,1,"1 snowmobiler caught, buried, and killed",2020-01-18
2020,2020,1,17,"Scott Peak, west of Lake Tahoe",U,,SA,CA,39.15756,-120.22238,Inbounds Rider,Ski,1,"2 inbounds skiers caught, 1 injured, 1 killed",2020-01-17
2020,2020,1,15,"Baker Creek drainage, Smoky Mountains",AM,2.0,BC,ID,43.69076,-114.67559,Snowmobiler,Snowmobile,1,"2 snowmobilers caught, 1 buried and killed",2020-01-15
2020,2020,1,11,"Rock Creek, Elkhorn Mountains",AM,2.0,BC,OR,44.86901,-118.19007,Snowmobiler,Snowmobile,1,"1 snowmobiler caught, buried, and killed",2020-01-11
2020,2020,1,7,"Wardner Peak, Bitterroot Mountains",AS,3.0,SA,ID,47.48811,-116.1278,Inbounds Rider,Ski,3,"Multiple skiers caught, 2 partially buried, 5 buried, 3 killed",2020-01-07
2020,2020,1,1,"Near Lake Dinah, west of Seeley Lake",AM,2.5,BC,MT,47.25592,-113.71536,Snowmobiler,Snowmobile,2,"3 snowmobilers caught, 2 buried and killed, 1 partially buried",2020-01-01
2020,2019,12,15,"Dutch Draw, Park City Ridgeline",AR,2.0,BC,UT,40.65347,-111.59126,Sidecountry Rider,Snowboard,1,"1 sidecountry rider caught, buried, and killed",2019-12-15
